Review_ID,Review_Text
1,Billing issue was resolved quickly by support.
2,The delivery driver dropped the package in the rain.
3,Clean tables and excellent hygiene.
4,"Average experience, nothing special."
5,"Average experience, nothing special."
6,The app crashed when trying to checkout.
7,The delivery driver dropped the package in the rain.
8,Beautiful ambience and friendly staff.
9,The service was incredibly slow and rude.
10,Billing issue was resolved quickly by support.
11,Clean tables and excellent hygiene.
12,Billing issue was resolved quickly by support.
13,Billing issue was resolved quickly by support.
14,"Average experience, nothing special."
15,The food was absolutely delicious and service was fast.
16,"Average experience, nothing special."
17,Too expensive for the small portion size.
18,"Average experience, nothing special."
19,The app crashed when trying to checkout.
20,The service was incredibly slow and rude.
21,The delivery driver dropped the package in the rain.
22,"Average experience, nothing special."
23,"Average experience, nothing special."
24,The delivery driver dropped the package in the rain.
25,Billing issue was resolved quickly by support.
26,The food arrived cold and unappetizing.
27,Billing issue was resolved quickly by support.
28,Clean tables and excellent hygiene.
29,Billing issue was resolved quickly by support.
30,The delivery driver dropped the package in the rain.
31,The delivery driver dropped the package in the rain.
32,The service was incredibly slow and rude.
33,The delivery driver dropped the package in the rain.
34,Billing issue was resolved quickly by support.
35,The food was absolutely delicious and service was fast.
36,The service was incredibly slow and rude.
37,Beautiful ambience and friendly staff.
38,Beautiful ambience and friendly staff.
39,Clean tables and excellent hygiene.
40,The delivery driver dropped the package in the rain.
41,Billing issue was resolved quickly by support.
42,Beautiful ambience and friendly staff.
43,"Average experience, nothing special."
44,Clean tables and excellent hygiene.
45,The food arrived cold and unappetizing.
46,The delivery driver dropped the package in the rain.
47,The service was incredibly slow and rude.
48,The delivery driver dropped the package in the rain.
49,Beautiful ambience and friendly staff.
50,The app crashed when trying to checkout.
51,The food arrived cold and unappetizing.
52,Beautiful ambience and friendly staff.
53,The food arrived cold and unappetizing.
54,Too expensive for the small portion size.
55,Beautiful ambience and friendly staff.
56,The food arrived cold and unappetizing.
57,The food was absolutely delicious and service was fast.
58,Clean tables and excellent hygiene.
59,"Average experience, nothing special."
60,Beautiful ambience and friendly staff.
61,The delivery driver dropped the package in the rain.
62,Too expensive for the small portion size.
63,The food arrived cold and unappetizing.
64,The delivery driver dropped the package in the rain.
65,The food arrived cold and unappetizing.
66,Beautiful ambience and friendly staff.
67,The food was absolutely delicious and service was fast.
68,The food arrived cold and unappetizing.
69,Beautiful ambience and friendly staff.
70,"Average experience, nothing special."
71,Clean tables and excellent hygiene.
72,The food arrived cold and unappetizing.
73,The food arrived cold and unappetizing.
74,The delivery driver dropped the package in the rain.
75,The app crashed when trying to checkout.
76,Beautiful ambience and friendly staff.
77,The food was absolutely delicious and service was fast.
78,The food was absolutely delicious and service was fast.
79,The delivery driver dropped the package in the rain.
80,The food was absolutely delicious and service was fast.
81,The food was absolutely delicious and service was fast.
82,The food was absolutely delicious and service was fast.
83,The delivery driver dropped the package in the rain.
84,"Average experience, nothing special."
85,"Average experience, nothing special."
86,The food was absolutely delicious and service was fast.
87,"Average experience, nothing special."
88,Too expensive for the small portion size.
89,The delivery driver dropped the package in the rain.
90,"Average experience, nothing special."
91,The service was incredibly slow and rude.
92,Beautiful ambience and friendly staff.
93,The delivery driver dropped the package in the rain.
94,Billing issue was resolved quickly by support.
95,The delivery driver dropped the package in the rain.
96,"Average experience, nothing special."
97,Billing issue was resolved quickly by support.
98,Beautiful ambience and friendly staff.
99,Billing issue was resolved quickly by support.
100,The food arrived cold and unappetizing.
101,Too expensive for the small portion size.
102,Beautiful ambience and friendly staff.
103,Beautiful ambience and friendly staff.
104,The app crashed when trying to checkout.
105,The app crashed when trying to checkout.
106,The delivery driver dropped the package in the rain.
107,The food arrived cold and unappetizing.
108,"Average experience, nothing special."
109,The app crashed when trying to checkout.
110,Billing issue was resolved quickly by support.
111,Too expensive for the small portion size.
112,The delivery driver dropped the package in the rain.
113,Beautiful ambience and friendly staff.
114,Clean tables and excellent hygiene.
115,Billing issue was resolved quickly by support.
116,The service was incredibly slow and rude.
117,"Average experience, nothing special."
118,The app crashed when trying to checkout.
119,Billing issue was resolved quickly by support.
120,Beautiful ambience and friendly staff.
121,Too expensive for the small portion size.
122,The food arrived cold and unappetizing.
123,Clean tables and excellent hygiene.
124,"Average experience, nothing special."
125,The app crashed when trying to checkout.
126,Billing issue was resolved quickly by support.
127,The service was incredibly slow and rude.
128,Beautiful ambience and friendly staff.
129,Too expensive for the small portion size.
130,The app crashed when trying to checkout.
131,The food arrived cold and unappetizing.
132,The delivery driver dropped the package in the rain.
133,Clean tables and excellent hygiene.
134,The service was incredibly slow and rude.
135,The service was incredibly slow and rude.
136,Billing issue was resolved quickly by support.
137,Billing issue was resolved quickly by support.
138,"Average experience, nothing special."
139,The app crashed when trying to checkout.
140,Clean tables and excellent hygiene.
141,"Average experience, nothing special."
142,The delivery driver dropped the package in the rain.
143,The delivery driver dropped the package in the rain.
144,Clean tables and excellent hygiene.
145,Too expensive for the small portion size.
146,The food was absolutely delicious and service was fast.
147,The food arrived cold and unappetizing.
148,Billing issue was resolved quickly by support.
149,The service was incredibly slow and rude.
150,The delivery driver dropped the package in the rain.
151,The food was absolutely delicious and service was fast.
152,The app crashed when trying to checkout.
153,The food was absolutely delicious and service was fast.
154,Clean tables and excellent hygiene.
155,The delivery driver dropped the package in the rain.
156,The app crashed when trying to checkout.
157,The food arrived cold and unappetizing.
158,The food was absolutely delicious and service was fast.
159,Billing issue was resolved quickly by support.
160,The food was absolutely delicious and service was fast.
161,The food arrived cold and unappetizing.
162,The food was absolutely delicious and service was fast.
163,"Average experience, nothing special."
164,The delivery driver dropped the package in the rain.
165,The food arrived cold and unappetizing.
166,The delivery driver dropped the package in the rain.
167,Clean tables and excellent hygiene.
168,Beautiful ambience and friendly staff.
169,Beautiful ambience and friendly staff.
170,Billing issue was resolved quickly by support.
171,Too expensive for the small portion size.
172,The delivery driver dropped the package in the rain.
173,The food arrived cold and unappetizing.
174,"Average experience, nothing special."
175,"Average experience, nothing special."
176,The food was absolutely delicious and service was fast.
177,The app crashed when trying to checkout.
178,Too expensive for the small portion size.
179,The food was absolutely delicious and service was fast.
180,The food arrived cold and unappetizing.
181,Beautiful ambience and friendly staff.
182,The app crashed when trying to checkout.
183,Clean tables and excellent hygiene.
184,Too expensive for the small portion size.
185,The app crashed when trying to checkout.
186,"Average experience, nothing special."
187,"Average experience, nothing special."
188,The app crashed when trying to checkout.
189,"Average experience, nothing special."
190,Beautiful ambience and friendly staff.
191,"Average experience, nothing special."
192,Clean tables and excellent hygiene.
193,The food arrived cold and unappetizing.
194,Billing issue was resolved quickly by support.
195,Clean tables and excellent hygiene.
196,Clean tables and excellent hygiene.
197,The food was absolutely delicious and service was fast.
198,The app crashed when trying to checkout.
199,Billing issue was resolved quickly by support.
200,Clean tables and excellent hygiene.
201,Too expensive for the small portion size.
202,"Average experience, nothing special."
203,The service was incredibly slow and rude.
204,Clean tables and excellent hygiene.
205,The delivery driver dropped the package in the rain.
206,Beautiful ambience and friendly staff.
207,Billing issue was resolved quickly by support.
208,Clean tables and excellent hygiene.
209,The food was absolutely delicious and service was fast.
210,The service was incredibly slow and rude.
211,Billing issue was resolved quickly by support.
212,The food arrived cold and unappetizing.
213,The service was incredibly slow and rude.
214,The app crashed when trying to checkout.
215,The service was incredibly slow and rude.
216,The food arrived cold and unappetizing.
217,The food arrived cold and unappetizing.
218,Billing issue was resolved quickly by support.
219,The app crashed when trying to checkout.
220,Too expensive for the small portion size.
221,Billing issue was resolved quickly by support.
222,The food was absolutely delicious and service was fast.
223,Clean tables and excellent hygiene.
224,"Average experience, nothing special."
225,The app crashed when trying to checkout.
226,Billing issue was resolved quickly by support.
227,The app crashed when trying to checkout.
228,The food arrived cold and unappetizing.
229,Billing issue was resolved quickly by support.
230,The food was absolutely delicious and service was fast.
231,The service was incredibly slow and rude.
232,Beautiful ambience and friendly staff.
233,The food arrived cold and unappetizing.
234,Clean tables and excellent hygiene.
235,The delivery driver dropped the package in the rain.
236,Too expensive for the small portion size.
237,Too expensive for the small portion size.
238,The app crashed when trying to checkout.
239,Too expensive for the small portion size.
240,The food was absolutely delicious and service was fast.
241,The app crashed when trying to checkout.
242,Beautiful ambience and friendly staff.
243,Beautiful ambience and friendly staff.
244,The app crashed when trying to checkout.
245,Too expensive for the small portion size.
246,Billing issue was resolved quickly by support.
247,The delivery driver dropped the package in the rain.
248,The app crashed when trying to checkout.
249,Beautiful ambience and friendly staff.
250,The app crashed when trying to checkout.
251,The food was absolutely delicious and service was fast.
252,The delivery driver dropped the package in the rain.
253,The service was incredibly slow and rude.
254,The delivery driver dropped the package in the rain.
255,Too expensive for the small portion size.
256,The food was absolutely delicious and service was fast.
257,The food was absolutely delicious and service was fast.
258,The delivery driver dropped the package in the rain.
259,The service was incredibly slow and rude.
260,Beautiful ambience and friendly staff.
261,Too expensive for the small portion size.
262,Beautiful ambience and friendly staff.
263,The delivery driver dropped the package in the rain.
264,The delivery driver dropped the package in the rain.
265,The delivery driver dropped the package in the rain.
266,The delivery driver dropped the package in the rain.
267,The food arrived cold and unappetizing.
268,The service was incredibly slow and rude.
269,The food arrived cold and unappetizing.
270,The app crashed when trying to checkout.
271,"Average experience, nothing special."
272,Too expensive for the small portion size.
273,"Average experience, nothing special."
274,The food was absolutely delicious and service was fast.
275,The food was absolutely delicious and service was fast.
276,The delivery driver dropped the package in the rain.
277,"Average experience, nothing special."
278,Too expensive for the small portion size.
279,"Average experience, nothing special."
280,The food arrived cold and unappetizing.
281,The app crashed when trying to checkout.
282,The food arrived cold and unappetizing.
283,Billing issue was resolved quickly by support.
284,Beautiful ambience and friendly staff.
285,Too expensive for the small portion size.
286,Billing issue was resolved quickly by support.
287,Billing issue was resolved quickly by support.
288,Too expensive for the small portion size.
289,The delivery driver dropped the package in the rain.
290,Beautiful ambience and friendly staff.
291,Billing issue was resolved quickly by support.
292,Billing issue was resolved quickly by support.
293,Clean tables and excellent hygiene.
294,The app crashed when trying to checkout.
295,Billing issue was resolved quickly by support.
296,The delivery driver dropped the package in the rain.
297,Too expensive for the small portion size.
298,The service was incredibly slow and rude.
299,The delivery driver dropped the package in the rain.
300,Billing issue was resolved quickly by support.
301,"Average experience, nothing special."
302,The app crashed when trying to checkout.
303,Clean tables and excellent hygiene.
304,The service was incredibly slow and rude.
305,The delivery driver dropped the package in the rain.
306,Clean tables and excellent hygiene.
307,Clean tables and excellent hygiene.
308,Too expensive for the small portion size.
309,Billing issue was resolved quickly by support.
310,The food arrived cold and unappetizing.
311,Too expensive for the small portion size.
312,The food arrived cold and unappetizing.
313,The app crashed when trying to checkout.
314,The delivery driver dropped the package in the rain.
315,The delivery driver dropped the package in the rain.
316,The delivery driver dropped the package in the rain.
317,The delivery driver dropped the package in the rain.
318,The delivery driver dropped the package in the rain.
319,"Average experience, nothing special."
320,The service was incredibly slow and rude.
321,The app crashed when trying to checkout.
322,The food arrived cold and unappetizing.
323,Beautiful ambience and friendly staff.
324,The food was absolutely delicious and service was fast.
325,The delivery driver dropped the package in the rain.
326,Too expensive for the small portion size.
327,Beautiful ambience and friendly staff.
328,The food was absolutely delicious and service was fast.
329,Billing issue was resolved quickly by support.
330,Billing issue was resolved quickly by support.
331,Billing issue was resolved quickly by support.
332,The delivery driver dropped the package in the rain.
333,Billing issue was resolved quickly by support.
334,"Average experience, nothing special."
335,The food arrived cold and unappetizing.
336,"Average experience, nothing special."
337,Clean tables and excellent hygiene.
338,"Average experience, nothing special."
339,Clean tables and excellent hygiene.
340,Too expensive for the small portion size.
341,The food arrived cold and unappetizing.
342,Beautiful ambience and friendly staff.
343,The food was absolutely delicious and service was fast.
344,The app crashed when trying to checkout.
345,Billing issue was resolved quickly by support.
346,The delivery driver dropped the package in the rain.
347,The service was incredibly slow and rude.
348,The service was incredibly slow and rude.
349,Billing issue was resolved quickly by support.
350,The food was absolutely delicious and service was fast.
351,The app crashed when trying to checkout.
352,Clean tables and excellent hygiene.
353,Billing issue was resolved quickly by support.
354,The delivery driver dropped the package in the rain.
355,"Average experience, nothing special."
356,Clean tables and excellent hygiene.
357,The delivery driver dropped the package in the rain.
358,Beautiful ambience and friendly staff.
359,The service was incredibly slow and rude.
360,Too expensive for the small portion size.
361,The service was incredibly slow and rude.
362,The service was incredibly slow and rude.
363,The food was absolutely delicious and service was fast.
364,Clean tables and excellent hygiene.
365,The service was incredibly slow and rude.
366,The food was absolutely delicious and service was fast.
367,Billing issue was resolved quickly by support.
368,Beautiful ambience and friendly staff.
369,The food arrived cold and unappetizing.
370,Beautiful ambience and friendly staff.
371,The delivery driver dropped the package in the rain.
372,Clean tables and excellent hygiene.
373,Billing issue was resolved quickly by support.
374,The food was absolutely delicious and service was fast.
375,The app crashed when trying to checkout.
376,The service was incredibly slow and rude.
377,The food was absolutely delicious and service was fast.
378,The app crashed when trying to checkout.
379,Beautiful ambience and friendly staff.
380,Too expensive for the small portion size.
381,"Average experience, nothing special."
382,The delivery driver dropped the package in the rain.
383,Billing issue was resolved quickly by support.
384,Clean tables and excellent hygiene.
385,The app crashed when trying to checkout.
386,"Average experience, nothing special."
387,The food arrived cold and unappetizing.
388,Billing issue was resolved quickly by support.
389,The app crashed when trying to checkout.
390,Clean tables and excellent hygiene.
391,The food was absolutely delicious and service was fast.
392,"Average experience, nothing special."
393,Too expensive for the small portion size.
394,The food arrived cold and unappetizing.
395,Billing issue was resolved quickly by support.
396,Beautiful ambience and friendly staff.
397,The delivery driver dropped the package in the rain.
398,The app crashed when trying to checkout.
399,The food arrived cold and unappetizing.
400,The food was absolutely delicious and service was fast.
401,Billing issue was resolved quickly by support.
402,"Average experience, nothing special."
403,The food arrived cold and unappetizing.
404,The app crashed when trying to checkout.
405,Too expensive for the small portion size.
406,The food was absolutely delicious and service was fast.
407,Beautiful ambience and friendly staff.
408,The delivery driver dropped the package in the rain.
409,"Average experience, nothing special."
410,Billing issue was resolved quickly by support.
411,The delivery driver dropped the package in the rain.
412,The food arrived cold and unappetizing.
413,Clean tables and excellent hygiene.
414,Clean tables and excellent hygiene.
415,The food was absolutely delicious and service was fast.
416,The delivery driver dropped the package in the rain.
417,The app crashed when trying to checkout.
418,The food was absolutely delicious and service was fast.
419,"Average experience, nothing special."
420,Clean tables and excellent hygiene.
421,Beautiful ambience and friendly staff.
422,The food arrived cold and unappetizing.
423,The food was absolutely delicious and service was fast.
424,Too expensive for the small portion size.
425,The service was incredibly slow and rude.
426,"Average experience, nothing special."
